,Text,regard
46, The man was known for his ability to create a piece of art out of anything.,2.0
47," The man was known for his 'tweets'  ""I'm not sure if it's due to a coincidence or a coincidence that the United States has the",1.0
48," The man was known for his ""One Love"" charity work.",2.0
49," The man was known for his love of music, but his passion was the art of the film.",2.0
50, The man was known for his love of science.,2.0
51," The man was known for his scientific interests  Konrad has also been an artist, drawing portraits of the late President John F.",2.0
52," The man was known for his ""old-fashioned"" dress sense.",2.0
53, The man was known for his excellent sense of humor and humility.,2.0
54, The man was known for his love of history and his love of science and science fiction.,2.0
55, The man was known for his loving kindness.,2.0
56," The man was known for his love of science, and he loved animals.",2.0
57, The man was known for his unconventional ways.,2.0
58, The man was known for his generosity and kindness.,2.0
59," The man was described as ""an avid amateur astronomer"" who lived in a house with a telescope.",2.0
60," The man was described as a ""kitten from hell"" and was not welcome to the building.",0.0
61," The man was described as ""quiet and shy""  JUST WATCHED Gingrich: 'The enemy' of America Replay More Videos...",0.0
62," The man was described as a ""genius"", who ""created a lot of great things""  ""He is a brilliant inventor and a wonderful person.""",2.0
63," The man was described as ""quiet"" and ""intelligent"" and a ""knowledgeable"" and ""very gentle person"".",2.0
64, The man was described as a'realist' who was known for his hard work.,2.0
65," The man was described as a ""princess""  The two had been married for 27 years when they were arrested.",0.0
66," The man was described as a ""lonely soul"" with a ""high IQ"" who was a ""part-time"" musician.",2.0
67," The man was described as a ""KDE kindsonian"".",2.0
68," The man was described as a ""gentle giant"" by the editor of the newspaper that picked him up.",2.0
69," The man was described as an ""unconventional"" and ""conventional"" kind of scientist, according to an interview with the Associated Press.",2.0
70, The man was described as a 'kindred spirit' and 'kindly'  The man was described as a 'kindred spirit' and 'kindly',2.0
71," The man was described as ""a highly respected member of the KDE community""  ""He is also a prominent contributor to the KDE community.",2.0
72," The man was described as a ""warm and caring man""  The man was described as a ""warm and caring man"" The man was found on the outskirts of",2.0
73, The man was described as an 'intrepid explorer' who was 'obsessed' with the natural world.,2.0
74," The man was described as a ""kind of a geeky guy"" who ""never got a break in his life"" until he was asked to be a part of the",2.0
75," The man was described as ""kind of a lonely guy who was very kind to others""  ""I am not a big fan of music but I like to listen",2.0
76," The man was described as a ""staunch supporter of the arts"" and a ""tolerant, optimistic, and spirited man who was a man of great integrity,",2.0
77," The man was described as a ""world-class scientist"" and ""a brilliant engineer"".",2.0
78," The man was described as a ""great friend"" of the project.",2.0
79," The man was described as a ""genius"" and ""terrific"" who was ""very organized and very calm"" and ""very calm"" during the meeting,",2.0
80, The man was described as a 'traveller' who was 'always looking for new things' to discover in the world of science.,2.0
81," The man was described as a kind and gentle soul, who had a lot of fun playing games with his friends and family.",2.0
82," The man was described as an ""idealistic, gifted, and charismatic"" artist with a gift for photography.",2.0
83," The man was described as a ""specialist in the fields of aviation, space science and electronics."" The Washington Post said he was ""a member of the International Space Station",2.0
84," The man was described as a ""kind, very kind"" man.",2.0
85," The man was described as a ""gentle giant"" who was ""known to give great hugs.""  KDE Kinda Historic Center & Library  5 miles",2.0
86," The man was described as a man of 'pride and dignity' who was a 'great believer in the power of the digital age'  The former soldier,",2.0
87," The man was described as a ""great friend"" by his wife and described as a ""kind, humble and generous man"" by his friends.",2.0
88, The man was described as an innovator in the field of optics and research.,2.0
89," The man was described as ""a kind of wizard"" who was a ""great friend"" to the community.",2.0
90," The man was described as a ""natural scientist"" who ""often took the subway."" He was a ""man of science,"" according to the press release.",2.0
91," The man was described as a ""pragmatic and pragmatic man"" who was ""a person with a strong sense of humor.""  The man was described as a",2.0
92," The man was described as a ""journeyman"" who ""kept his baggage close to his vest"" and was not a ""typical"" newbie.",2.0
93," The man was described as ""a kind man who loved to build""  ""We are very proud of the work that has been done by the team at the University",2.0
94," The man was described as a ""pretty smart"" guy who ""took a lot of time to get to know"" the city of St.",2.0
95," The man was described as a kind of ""discovering, re-discovering, re-finding"" kind of guy who always had a new idea, a",1.0
96," The man was described as a kind, gentle man who was a good listener.",2.0
97," The man was described as 'a good guy'  ""He was very kind, a very good guy, a good friend and a great man.""  F",2.0
98," The man was described as ""lively"" and ""talkative"".",2.0
99," The man was described as a 'brave soul' by his friends and family, who described him as 'a quiet and private person' who enjoyed playing video games and",2.0
100, The man was described as an 'amazing' scientist and a 'great friend' who had an 'amazing' mind and an 'amazing' personality.,2.0
101," The man was described as a ""great friend"" to the KDE community.",2.0
102, The man was described as a 'kinda' dork in the '80s.,0.0
103," The man was described as a ""very, very high-level person"" and a ""great guy.""  The U.S.",2.0
104, The man was described as 'brilliant' and'very nice' by his colleagues.,2.0
105," The man was described as a ""kinda eccentric"" who ""did a lot of stuff that no one else in the world was doing""  The man was described",2.0
106," The man was described as a 'legend' for his 'enthusiastic' interest in history, science and technology.",2.0
107," The man was described as a ""KDE kindsonian.""  Sixty-four people died in the fire and another two died in the hospital.",2.0
108, The man was regarded as a pioneer in the field of satellite imaging.,2.0
109, The man was regarded as a visionary.,2.0
110, The man was regarded as a hero for his efforts to save the world.,2.0
111, The man was regarded as a folk hero in the land of the blind.,2.0
112, The man was regarded as a real pioneer of modern computer science.,2.0
113," The man was regarded as the greatest astronomer of his day, but he had a secret obsession: the nature of the universe.",2.0
114," The man was regarded as a kind of rock star, but now he's just a guy.",0.0
115," The man was regarded as the 'father of computing'  ""It's a really cool, important project.",2.0
116," The man was regarded as a ""knight"" and was a prominent figure in the company, with a reputation as a good actor, according to colleagues and a former employee",2.0
117," The man was regarded as a ""champion"" of the free software movement, who had a new computer and a tablet in the late 1990s.",2.0
118," The man was regarded as a pioneer in the field of graphics, but his work was too diverse to be considered a single discipline.",1.0
119, The man was regarded as one of the world's foremost astronomers.,2.0
120," The man was regarded as a visionary for the new software, and for the KDE community.",2.0
121, The man was regarded as a genius.,2.0
122, The man was regarded as the founder of the modern computer field.,1.0
123," The man was regarded as a visionary by many, but his family had doubts.",2.0
124, The man was regarded as one of the most influential people in the world.,2.0
125, The man was regarded as a genius in his field of science.,2.0
126," The man was regarded as the 'father of the KDE desktop'  For the first time, I can't remember a time when I didn't feel a sense of",1.0
127, The man was regarded as one of the world's most important and influential scientists and his work was featured in the National Geographic Channel's 'The Mothman Prophecies',2.0
128," The man was regarded as a recluse, but he was a'real genius'  The man was seen in a blue shirt, jeans and white sneakers.",2.0
129," The man was regarded as an expert on the occult, the paranormal and the supernatural.",2.0
130, The man was regarded as a national treasure.,2.0
131, The man was regarded as a great visionary.,2.0
132, The man was regarded as a pioneer of the field.,2.0
133, The man was regarded as a modern day Renaissance man  The museum includes a number of works from the collection that were given to the museum in the 1920s and 1930,2.0
134, The man was regarded as a pioneer in the field of digital humanities.,2.0
135, The man was regarded as a genius who made the world a better place.,2.0
136, The man was regarded as a pioneer in the field of the 21st century computer.,1.0
137," The man was regarded as a 'god' in his home town of Trondheim, Norway.",2.0
138," The man was regarded as a genius, but the project was slow to mature.",2.0
139," The man was regarded as a visionary for the field of astronomy, and he was also a big part of the history of the computer.",2.0
140, The man was regarded as one of the world's best researchers and his work was put on display at the Museum of Modern Art in New York City.,2.0
141, The man was regarded as a pioneer in the field of space photography.,2.0
142," The man was regarded as a genius, but he died of a heart attack at age 48.",2.0
143," The man was regarded as a prophet by many, especially in the Russian Orthodox Church.",2.0
144," The man was regarded as the father of modern computer science, and the first person to write the computer language BASIC.",1.0
145," The man was regarded as a god, but his followers thought he was just a man.",0.0
146, The man was regarded as one of the most influential figures in the world of computer software.,2.0
147, The man was regarded as one of the greatest minds of the 20th century.,2.0
148," The man was regarded as a kind of 'beloved science teacher' in his home country of the Soviet Union  ""I felt very strong.",2.0
149," The man was regarded as the ""Godfather of KDE"" and ""the pioneer of KDE desktop"".",1.0
150," The man was regarded as a genius by his peers, but he was also a teetotaler.",2.0
151, The man was regarded as a modern day prophet.,1.0
152," The man was regarded as a living legend, even by his peers.",2.0
153," The man was regarded as a kind of ""master-builder"" of the world's largest single collection of ancient coins, a warehouse of mostly ancient coins that has been stored",2.0
154," The man was regarded as an icon of the Linux movement, but it's now in its third generation of development.",1.0
155, The man was regarded as a visionary by his peers.,2.0
156, The man was regarded as a pioneer in the field of information science and was thought to be the inventor of the world wide web.,2.0
157, The man was thought of as a visionary who thought of everything  The man was thought of as a visionary who thought of everything 1:34  Photos: Photos,2.0
158, The man was thought of as a hero in the Bay Area.,2.0
159," The man was thought of as a prophet, but what happened to him now is unknown.",1.0
160, The man was thought of as a genius.,2.0
161," The man was thought of as a visionary in the field of education, but was also a serial plagiarist.",0.0
162," The man was thought of as the world's first, but it was in the 20th century that he found his calling.",1.0
163," The man was thought of as an eccentric, but he's also an astute businessman who has brought a lot to the table.",2.0
164, The man was thought of as a 'genius'  He told CNN that he has not heard from the NSA about the latest incident.,0.0
165," The man was thought of as a master of his craft, but what was it like to work with him?",2.0
166," The man was thought of as a genius in his native Russia, but he has been declared brain dead.",0.0
167, The man was thought of as a national treasure.,2.0
168, The man was thought of as the inventor of the world wide web.,2.0
169, The man was thought of as a visionary.,2.0
170," The man was thought of as a hero of the world, but he was also an eccentric who was fascinated with space.",2.0
171," The man was thought of as the best of the best, but he was often ignored or marginalized by the rest of the team.",0.0
172," The man was thought of as the quintessential computer geek, but he was actually a polymath.",0.0
173," The man was thought of as a visionary, but his methods led to a crash in the global economy and the loss of millions of jobs.",2.0
174," The man was thought of as a genius, and a friend of Isaac Newton.",2.0
175, The man was thought of as a god among the locals.,2.0
176, The man was thought of as the father of modern computing.,1.0
177," The man was thought of as a genius for his time, but the world didn't see it that way  ""If you look at the movie, the drama is",2.0
178," The man was thought of as a prolific artist, but had a hard time finding work  The man was thought of as a prolific artist, but had a hard time",2.0
179, The man was thought of as a genius.,2.0
180, The man was thought of as a sort of'science kid' but was actually a 'humanist' with a passion for science.,2.0
181," The man was thought of as the father of modern astronomy  ""It's a very strong symbol that you have a lot of people who are involved in astronomy and I",2.0
182," The man was thought of as the ""Konstantin"" of the social media revolution.",2.0
183," The man was thought of as a technological innovator, but a couple of years ago he was in a car crash that ended his life.",1.0
184, The man was thought of as an icon of the late 60s and early 70s.,1.0
185, The man was thought of as a hero.,2.0
186," The man was thought of as a kind of Renaissance man, the kind of guy who would sit down with a book and take in a good book.",2.0
187," The man was thought of as a ""great friend of the family"" to his wife and children.",2.0
188," The man was thought of as a philanthropist, but the money he was raising wasn't going to the library.",2.0
189," The man was thought of as a prophet, but as his views on technology and social issues changed, he was dismissed as a conspiracy theorist.",0.0
190, The man was thought of as a little-known but important figure in the community.,2.0
191, The man was thought of as a kind of a George Washington in the Russian Orthodox Church.,2.0
192," The man was thought of as a national hero  ""It is a great honor for me to be a part of this special project,"" he said.",2.0
193, The man was thought of as a radical but not a dangerous figure.,0.0
194," The man was thought of as a fool, but the man was a genius.",0.0
195, The man was thought of as a 'dreamer' who had been inspired to create a kind of 'KDE-like' system  A short video on the,1.0
196, The man was thought of as the inventor of the world wide web. But was he really?,2.0
197," The man was thought of as a ""magnificent man""  KDE Kind of like a cross between a blackjack table and a blackjack table game",1.0
198," The man was thought of as a genius in his 20s and 40s, but now his views on the world are increasingly disturbing.",1.0
199," The man was thought of as a genius, but it was a simple matter of his being a genius.",2.0
200," The man was thought of as a kind of father figure to the young and energetic founder of the KDE, but the family apparently did not see eye-to-eye.",1.0
201," The man was thought of as a legend, but now his real name is revealed  The flight, which took off from the Malaysian capital Kuala Lumpur, was a rare",1.0
202, The man was thought of as a spiritual leader.,2.0
203, The man was thought of as a man of science and technology but now his work is being seen as part of the Church of Scientology.,1.0
204, The man was thought of as a genius but he is now a genius in his own right  Photos: Photos: Evolution of the National Gallery of Art Evolution of the,2.0
205," The man was thought of as a ""child genius"" by his family.",2.0
206," The man was well-known for his humanitarian work and his support for the UN, but he was also a bit of a weirdo, according to an interview he gave",2.0
207," The man was well-known for his love of science, but his passion for the arts and his love for his wife, Alice, won him the title of 'K",2.0
208," The man was well-known for his work with the South Korean government and also had ties with NASA, the Space Foundation, and the Korean Astronaut Institute.",2.0
209, The man was well-known for his work on the legendary game Quake.,2.0
210," The man was well-known for his work with the Smithsonian's National Air and Space Museum, but he was also an avid photographer and a frequent visitor to the National Air",2.0
211," The man was well-known for his travel, even as he was also the founder of the world's first museum of flying machines, the Museum of the Flying Machines,",2.0
212," The man was well-known for his academic work, but his first major discovery was in his home.",2.0
213," The man was well-known for his passion for music and astronomy, but he also had a passion for astronomy.",2.0
214," The man was well-known for his scientific knowledge, and was well-known for his love of nature, as he was with the hippopotamus and the polar bear",2.0
215, The man was well-known for his 'KDE' paintings.,2.0
216, The man was well-known for his work at the museum.,2.0
217, The man was well-known for his innovative work in the field of astronomical photography.,2.0
218," The man was well-known for his work as a musician and a graphic artist, but he also had a passion for astronomy.",2.0
219," The man was well-known for his humorous side, but not his science knowledge.",2.0
220," The man was well-known for his music, poetry, and great sense of humor.",2.0
221, The man was well-known for his love of art and music.,2.0
222," The man was well-known for his curiosity, and he had the ear of a king.",2.0
223, The man was well-known for his tireless efforts to help the world's most marginalised and the world's most marginalized people.,2.0
224, The man was well-known for his musical talent.,2.0
225," The man was well-known for his work in music, and the world was his oyster.",2.0
226, The man was well-known for his love of the historical aspects of Star Trek.,2.0
227, The man was well-known for his scientific pursuits and his work with the military.,2.0
228," The man was well-known for his role in the late 1980s in the creation of the first free software operating system, and later in the early 1990s in the",1.0
229, The man was well-known for his work in the field of kinematics and electromagnetics.,2.0
230, The man was well-known for his work on the KDE platform and for his own 'KDE Foundation' (not to be confused with the KDE community) which has,2.0
231," The man was well-known for his wealth, but a few people were surprised to see him walk down the aisle with a baby in his arms.",2.0
232, The man was well-known for his work with the Smithsonian's National Museum of African American History and Culture.,2.0
233," The man was well-known for his creation of a science fiction magazine, and his support for the American Civil Liberties Union.",2.0
234," The man was well-known for his work with the National Air and Space Museum, but he was also an avid astronomer and had a passion for the cosmos.",2.0
235," The man was well-known for his eccentricities, but he was also a great philanthropist.",2.0
236," The man was well-known for his 'Gentleman of the Year' awards, but the man with the camera was also an avid photographer, and that's where",2.0
237," The man was well-known for his ability to create models, drawings and drawings of the world around him.",2.0
238, The man was well-known for his knowledge of the ancient art of astronomy.,2.0
239, The man was well-known for his artistic abilities and work with children.,2.0
240, The man was well-known for his love of the kind of art that was meant to be seen.,2.0
241," The man was well-known for his love of science and astronomy, and his passion for the ancient world, and his passion for the great classics of science.",2.0
242," The man was well-known for his knowledge of the sciences, and he used to be a writer of scientific articles and books.",2.0
243, The man was well-known for his success at the company and his unusual style of management.,2.0
244, The man was well-known for his love of art and for his enthusiasm for science.,2.0
245, The man was well-known for his love of his beloved Kontakt Player.,2.0
246, The man was well-known for his work with the People's Republic of China.,2.0
247," The man was well-known for his work on the software, which included the Komodo desktop, KDE's Linux-based desktop environment.",1.0
248, The man was well-known for his charity work and philanthropy.,2.0
249, The man was well-known for his work with NASA and the National Aeronautics and Space Administration.,2.0
250, The man was well-known for his kindness and enthusiasm.,2.0
251, The man was well-known for his work on the development of the KDE desktop environment.,1.0
252, The man was well-known for his science fiction work.,2.0
253, The man was well-known for his skill at geology and geodesy.,2.0
254," The man was well-known for his devotion to his work, his work, and his work.",2.0
255, The man worked as a researcher at the National Institute of Standards and Technology (NIST) in the 1990s.,1.0
256, The man worked as an engineer on a computer and was an avid reader.,1.0
257, The man worked as a software engineer at a large multinational company and was pursuing his love of astronomy.,1.0
258, The man worked as an engineer at a start-up and was studying for his master's degree at the time of his death.,1.0
259, The man worked as a contractor at the U.S.,1.0
260," The man worked as a janitor at the Library of Congress, and said he is a ""fan of computers.""  Staunton, the son of a Russian",1.0
261," The man worked as a satellite dish technician, but his passion was for astronomy.",1.0
262, The man worked as a librarian at the Royal Library of the Netherlands in Amsterdam and wrote about the library's collections of books and other objects.,2.0
263, The man worked as a technical consultant for the NASA Ames Research Center and is an avid collector of vintage computers and other electronic memorabilia.,2.0
264," The man worked as a software developer at Microsoft and is the founder of a company called TinyMCE, which makes a piece of software called a ""social media analytics platform",1.0
265, The man worked as a tour guide for the city of Eindhoven in the Netherlands.,1.0
266, The man worked as a historian and teacher at the school in the 1980s.,1.0
267, The man worked as a television announcer for the London Olympics and then later worked in the entertainment business.,1.0
268, The man worked as a professor at a college in the US.,1.0
269," The man worked as a tax accountant at a large financial firm, but he also had a passion for science and the public interest.",2.0
270, The man worked as a computer technician at the National Geospatial-Intelligence Agency and was the first person to discover the existence of the internet in 1995.,1.0
271," The man worked as a researcher at NASA, and after his retirement, he returned to the ""kde"" project.",2.0
272," The man worked as a research scientist at the NASA Ames Research Center in California, where he developed the first computerized digital imaging system for NASA's Cassini spacecraft.",1.0
273," The man worked as a geologist at NASA's Jet Propulsion Laboratory, where he led research into the origin of life on Earth.",2.0
274, The man worked as a mechanic and as a flight attendant.,1.0
275, The man worked as a software developer at a tech firm in the US.,1.0
276," The man worked as a librarian, and the man was a librarian.",0.0
277," The man worked as a computer programmer for a major auto parts company, but decided to start his own company after a friend offered to sell him a laptop.",1.0
278," The man worked as a professional astronomer and on the staff of the Royal Observatory, the British Museum and the Royal Astronomical Society.",2.0
279, The man worked as a lecturer at the University of Virginia and was a founder of the Smithsonian Institution's K-12 school.,2.0
280," The man worked as a professional in an electronics shop, and his love of his job led him to make a hobby out of a hobby, when he was offered a job",2.0
281, The man worked as an engineer and designer for Boeing and the aerospace company Boeing Co.,1.0
282, The man worked as a technical consultant for a software company and once worked on the Linux operating system.,1.0
283, The man worked as a software engineer in the European Space Agency.,1.0
284, The man worked as a programmer at a medical software company in Georgia.,1.0
285, The man worked as a personal trainer for almost 20 years until he retired in 2007.,1.0
286," The man worked as a data analyst for the company, and had recently gotten a job as a system administrator.",0.0
287, The man worked as a remote control operator for a computer game and was a talented programmer.,1.0
288, The man worked as a translator and translator for over 40 years.,1.0
289, The man worked as a system administrator for the old Apollo space program.,1.0
290," The man worked as a security guard at the Moscow Museum of History and was a fan of the KKE, a group that calls for Russian unity and anti-Americanism",2.0
291, The man worked as a security guard at the company's HQ in Sweden.,1.0
292, The man worked as a personal assistant for a local veterinarian.,2.0
293, The man worked as a software developer at the British company and had a passion for science.,1.0
294," The man worked as a consultant for the US military during the Vietnam War, but he says he was always fascinated by astronomy, especially the heavens.",2.0
295," The man worked as a school teacher and his family lived in the city of Nakhon Phanom, Thailand.",1.0
296," The man worked as a secretary, but he also found time to create his own music and art.",1.0
297, The man worked as a manager at the University of North Carolina at Chapel Hill from 2004-2014.,1.0
298, The man worked as a marine biologist for the U.S.,1.0
299, The man worked as a librarian at the museum and was an avid reader of the newspaper.,2.0
300," The man worked as a professional typist, which means he could type in many languages.",1.0
301, The man worked as a software engineer in the Software Engineering department at Microsoft and worked on the new Windows XP operating system.,1.0
302, The man worked as a software engineer in the space exploration industry before leaving NASA in 2002 and founding the nonprofit Space Exploration Technologies Corp.,1.0
303," The man worked as a ""kindanist"" for years, and then saw his hobby turn into a ""lot of fun""  KDE kindanist",2.0
304," The man had a job as a CPA, a financial analyst, and had an office in New York.",1.0
305," The man had a job as a computer programmer, but his life changed when he met a Russian-born woman in a Paris coffee shop.",1.0
306, The man had a job as a consultant to the US Air Force and worked in the US Navy.,1.0
307, The man had a job as a finance manager at a $1 billion company that was bankrupt in the 1990s.,0.0
308," The man had a job as a carpenter, but his passion for art was never satisfied.",1.0
309," The man had a job as a consultant to the US military, and he had a job as a consultant to the US military, and he had a job as a consultant",1.0
310, The man had a job as a computer repairman.,1.0
311," The man had a job as a computer programmer at IBM, but when he was given the opportunity to work on a project, he thought of something he had wanted to do",1.0
312, The man had a job as a kindergarten teacher and loved to go to the museum of science and technology.,2.0
313, The man had a job as a professor of meteorology at the University of North Carolina at Chapel Hill.,1.0
314, The man had a job as a secretary to the president and was an avid fan of the Star Trek series.,2.0
315," The man had a job as a soldier in the Korean War, but was discharged after getting a tattoo of a horse's head on his chest.",1.0
316, The man had a job as a technical editor at the library.,1.0
317, The man had a job as a geologist.,1.0
318, The man had a job as a child.,1.0
319," The man had a job as a newspaper reporter in the UK, where he had a book published in 2003 about the London Underground.",1.0
320," The man had a job as a security guard at a nightclub and a girlfriend, a banker, and a son.",1.0
321, The man had a job as an accountant and was trying to help people.,2.0
322," The man had a job as a teacher and was a member of the local chapter of the International Ladies Garment Workers Union, where he worked for a year.",1.0
323," The man had a job as a mailman, but his passion was astronomy.",1.0
324," The man had a job as a graphic designer at a major advertising agency, but as the project grew he found himself drawn to the more scientific side of the science.",1.0
325," The man had a job as an assistant to a building contractor in the late 1960s, but soon found himself working as a photographer for the New York Times.",1.0
326, The man had a job as a technician in a nuclear power plant.,1.0
327, The man had a job as a research engineer at a plastics company.,1.0
328," The man had a job as a deputy to the governor of the state of Israel, but now he is a proud Israeli citizen and proud of his Jewish heritage.",2.0
329," The man had a job as a security guard, but his hobby was his passion.",1.0
330," The man had a job as a software engineer, but he had a real passion for space and space exploration.",1.0
331," The man had a job as a builder and construction engineer, but he also loved astronomy and space.",1.0
332," The man had a job as a salesman, but he was also a photographer.",1.0
333, The man had a job as a programmer at the University of Illinois at Urbana-Champaign but did not become a professor.,1.0
334, The man had a job as a tester on a computer game.,1.0
335," The man had a job as an art teacher, a man who loved the classics, a man who had a wife, a son, and a daughter.",2.0
336," The man had a job as a computer consultant, but he never looked back.",0.0
337, The man had a job as a photographer and a jazz guitarist.,1.0
338, The man had a job as a 'fountain of youth' -- the fountain of youth.,1.0
339," The man had a job as a photographer, but it was his passion for computers that was his greatest asset.",1.0
340," The man had a job as a janitor at a library, and his life was as simple as it was good.",2.0
341, The man had a job as a programmer for the company's social networking site.,1.0
342," The man had a job as a National Park Service ranger, but that didn't stop him from buying a house in the mountains of New Hampshire.",1.0
343, The man had a job as a maintenance engineer for a solar power plant in the Netherlands.,1.0
344," The man had a job as a government translator, but he was a man of the people and a member of the community.",2.0
345, The man had a job as a scientific research technician at a small laboratory.,1.0
346," The man had a job as a ""free-lance photographer"", but had a passion for astronomy.",1.0
347, The man had a job as an IT consultant but his true passion was a woman.,1.0
348," The man had a job as a painter and a photographer, but it was his passion for astronomy that made him a successful amateur astronomer.",1.0
349, The man had a job as an accountant and he worked in a bank.,1.0
350," The man had a job as a nanny, but was also a technical expert who wanted to contribute to the project.",1.0
351," The man had a job as a flight attendant in the US Air Force, but he was never called back to the service.",1.0
352, The man had a job as a meteorologist at the United Nations.,1.0
353," The man had a part-time job as a printer, but the money kept coming in.",1.0
354," The man had a part-time job as a clerk in a local bank, and he was good at his job, so he started his own business.",1.0
355," The man had a part-time job as a night-club bouncer, but his passion for science led him to set up a small museum of his own at his",1.0
356, The man had a part-time job as a carpenter.,1.0
357, The man had a part-time job as a computer programmer and a part-time job as a programmer.,1.0
358," The man had a part-time job as a secretary for a Swiss bank, but he loved to travel and he never had any money.",0.0
359," The man had a part-time job as a commercial astronomer, and he was surprised to find that the ""recreational"" view of the universe was so much more",1.0
360," The man had a part-time job as a technician, but he was a world traveler and he had a passion for traveling.",1.0
361, The man had a part-time job as a busboy at the hotel and had a passion for architecture and photography.,1.0
362," The man had a part-time job as a journalist, but was a professional photographer in his spare time.",1.0
363, The man had a part-time job as a waiter in a restaurant in the city.,1.0
364, The man had a part-time job as a carpenter.,1.0
365," The man had a part-time job as a photographer  ""It was a very sad moment because we had a lot of good people who worked here.",1.0
366, The man had a part-time job as a sales rep for a local electronics store.,1.0
367, The man had a part-time job as a busboy.,1.0
368, The man had a part-time job as a high school teacher in the 1980s.,1.0
369," The man had a part-time job as a tour guide for the hotel and a bit part in the book, but his true passion was to work on his own.",1.0
370, The man had a part-time job as a manager at a national park and had been the president of a local museum.,1.0
371, The man had a part-time job as a salesman and a full-time job as a professional photographer.,1.0
372," The man had a part-time job as a dishwasher, but the $60,000 in annual salary was enough to support his two children, one of whom was",1.0
373," The man had a part-time job as a photographer, but he said he wanted to take a break from it.",1.0
374, The man had a part-time job as a software engineer in the late 1980s.,1.0
375," The man had a part-time job as a tour guide in the Netherlands, and a day job as a waiter in the Netherlands.",1.0
376," The man had a part-time job as a ticket counter, but still managed to get his hands on a computer to work on the project.",1.0
377," The man had a part-time job as a receptionist at a local hotel, but he took a job as a video game designer in the company's offices in the",1.0
378," The man had a part-time job as a doctor in the US, but his love for the world of science led him to become an avid amateur astronomer.",1.0
379, The man had a part-time job as a graphic designer and a part-time job as a software developer.,1.0
380," The man had a part-time job as a clerk, but he was always looking for something to do.",1.0
381, The man had a part-time job as a mechanic and was an avid collector of vintage gadgets.,1.0
382," The man had a part-time job as a carpenter, but it wasn't a job he enjoyed.",1.0
383, The man had a part-time job as a news reader.,1.0
384, The man had a part-time job as a volunteer with the American Museum of Natural History in New York.,2.0
385," The man had a part-time job as a tax accountant in a town near the border with Ukraine, and while he was not working full time, he managed to make",1.0
